
1s
1s
0s
Run actions/setup-node@v4
Found in cache @ /opt/hostedtoolcache/node/20.20.2/x64
Environment details
3m 28s
Run node check-script.js
=== GitHub Actions 检测开始 ===

📊 分组数: 6
🚫 黑名单: 6 条

📋 待检测IP总数: 1679

[*] 第一阶段(测速)开始: 1679 个IP
    [+] 有效IP: 14.46.128.84:25010    | 延迟: 652ms | 机房: ICN
    [+] 有效IP: 118.39.136.248:20002  | 延迟: 1066ms | 机房: ICN
    [+] 有效IP: 203.236.109.80:16992  | 延迟: 647ms | 机房: ICN
    [+] 有效IP: 221.144.70.202:10909  | 延迟: 695ms | 机房: ICN
    [+] 有效IP: 119.194.230.206:10909 | 延迟: 825ms | 机房: ICN
    [+] 有效IP: 112.162.22.71:10255   | 延迟: 712ms | 机房: ICN
    [+] 有效IP: 125.130.107.172:37020 | 延迟: 717ms | 机房: ICN
    [+] 有效IP: 211.230.64.93:26257   | 延迟: 642ms | 机房: ICN
    [+] 有效IP: 218.154.185.67:25010  | 延迟: 989ms | 机房: ICN
    [+] 有效IP: 211.51.105.92:12345   | 延迟: 719ms | 机房: ICN
    [+] 有效IP: 221.165.219.121:10911 | 延迟: 800ms | 机房: ICN
    [+] 有效IP: 112.162.27.226:10162  | 延迟: 819ms | 机房: ICN
    [+] 有效IP: 218.149.220.223:10332 | 延迟: 828ms | 机房: ICN
    [+] 有效IP: 121.137.41.206:10162  | 延迟: 698ms | 机房: ICN
    [+] 有效IP: 118.35.123.83:25565   | 延迟: 983ms | 机房: ICN
    [+] 有效IP: 211.105.138.237:11965 | 延迟: 638ms | 机房: ICN
    [+] 有效IP: 14.42.199.13:36398    | 延迟: 991ms | 机房: ICN
    [+] 有效IP: 118.42.204.220:10030  | 延迟: 644ms | 机房: ICN
    [+] 有效IP: 211.197.184.154:37020 | 延迟: 672ms | 机房: ICN
    [+] 有效IP: 14.57.222.213:20880   | 延迟: 1416ms | 机房: ICN
    [+] 有效IP: 175.204.72.94:11001   | 延迟: 815ms | 机房: ICN
    [+] 有效IP: 112.164.151.157:22222 | 延迟: 936ms | 机房: ICN
    [+] 有效IP: 125.130.201.117:10250 | 延迟: 606ms | 机房: ICN
    [+] 有效IP: 218.147.196.99:38422  | 延迟: 829ms | 机房: ICN
    [+] 有效IP: 112.166.213.102:16993 | 延迟: 831ms | 机房: ICN
    [+] 有效IP: 59.3.101.8:10909      | 延迟: 1041ms | 机房: ICN
    [+] 有效IP: 121.140.34.163:12300  | 延迟: 804ms | 机房: ICN
    [+] 有效IP: 121.167.94.122:10554  | 延迟: 717ms | 机房: ICN
    [+] 有效IP: 222.97.135.19:20332   | 延迟: 618ms | 机房: ICN
    [+] 有效IP: 121.183.117.210:12000 | 延迟: 705ms | 机房: ICN
    [+] 有效IP: 121.156.162.54:10554  | 延迟: 827ms | 机房: ICN
    [+] 有效IP: 14.43.187.155:10162   | 延迟: 1273ms | 机房: ICN
    [+] 有效IP: 221.163.41.210:29876  | 延迟: 1260ms | 机房: ICN
    [+] 有效IP: 121.146.123.101:16103 | 延迟: 628ms | 机房: ICN
    [+] 有效IP: 221.168.164.179:32771 | 延迟: 633ms | 机房: ICN
    [+] 有效IP: 14.35.215.113:11965   | 延迟: 792ms | 机房: ICN
    [+] 有效IP: 210.106.113.139:10911 | 延迟: 615ms | 机房: ICN
    [+] 有效IP: 175.209.221.91:31337  | 延迟: 896ms | 机房: ICN
    [+] 有效IP: 14.37.103.127:16922   | 延迟: 709ms | 机房: ICN
    [+] 有效IP: 121.145.126.10:10035  | 延迟: 828ms | 机房: ICN
    [+] 有效IP: 183.107.163.3:10005   | 延迟: 1264ms | 机房: ICN
    [+] 有效IP: 183.97.233.185:11965  | 延迟: 1015ms | 机房: ICN
    [+] 有效IP: 121.153.34.206:29999  | 延迟: 625ms | 机房: ICN
    [+] 有效IP: 59.7.203.14:10255     | 延迟: 698ms | 机房: ICN
    [+] 有效IP: 222.97.254.167:34599  | 延迟: 819ms | 机房: ICN
    [+] 有效IP: 59.15.13.58:29876     | 延迟: 1001ms | 机房: ICN
    [+] 有效IP: 220.88.3.5:11211      | 延迟: 786ms | 机房: ICN
    [+] 有效IP: 175.198.153.187:19999 | 延迟: 845ms | 机房: ICN
    [+] 有效IP: 119.205.128.200:15993 | 延迟: 803ms | 机房: ICN
    [+] 有效IP: 175.197.149.153:37810 | 延迟: 626ms | 机房: ICN
    [+] 有效IP: 14.50.59.154:10243    | 延迟: 1060ms | 机房: ICN
    [+] 有效IP: 175.192.180.203:11371 | 延迟: 1583ms | 机房: ICN
    [+] 有效IP: 221.148.112.74:32768  | 延迟: 805ms | 机房: ICN
    [+] 有效IP: 222.114.159.171:29999 | 延迟: 1015ms | 机房: ICN
    [+] 有效IP: 112.173.222.113:18001 | 延迟: 1279ms | 机房: ICN
